audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
7.7,Drama,78,80,0.7,Un temps pour l'ivresse des chevaux,5890,2000
7.8,Documentary,75,82,0.43,Dark Days,5803,2000
6.0,Animation,20,82,9.63,Digimon - Le film,5701,2000
7.2,Drama,49,130,1.84,Harrison's Flowers,5628,2000
6.9,Comedy,59,91,0.35,KrÃ¡mpack,5563,2000
6.5,Drama,62,120,0.67,RÃ©demption,5505,2000
7.2,Crime,68,125,0.24,Vies brÃ»lÃ©es,5479,2000
8.3,Comedy,70,139,0.02,Les dÃ©mons Ã  ma porte,5468,2000
6.2,Comedy,71,78,2.88,SÃ©duction en mode mineur,5325,2000
6.9,Comedy,73,82,0.09,Gouttes d'eau sur pierres brÃ»lantes,5215,2000
5.7,Comedy,46,104,0.01,Maybe Baby ou Comment les Anglais se reproduisent,5169,2000
7.4,Animation,74,132,0.12,OtesÃ¡nek,5160,2000
7.7,Documentary,82,108,0.61,L'obscÃ©nitÃ© et la fureur - La vÃ©ritable histoire des Sex Pistols,5119,2000
7.3,Drama,70,88,0.0,El bola,4999,2000
7.3,Drama,73,112,3.06,La veuve de Saint-Pierre,4959,2000
7.5,Drama,85,90,0.67,Le cercle,4942,2000
6.3,Comedy,42,95,0.27,Psycho Beach Party,4869,2000
6.7,Comedy,76,115,38.18,The Original Kings of Comedy,4863,2000
6.6,Comedy,76,96,1.05,Chuck & Buck,4821,2000
6.9,Comedy,46,91,1.44,Jardinage Ã  l'anglaise,4818,2000
6.3,Comedy,44,82,0.55,Love & Sex,4797,2000
7.1,Drama,57,110,0.53,Bread and Roses,4793,2000
6.3,Drama,49,89,5.66,En toute complicitÃ©,4759,2000
"5.6,Biography,42,89,0.01,""Ed Gein, le boucher"",4607,2000"
"6.5,Comedy,23,103,0.0,""Gangsters, sex & karaokÃ©"",4582,2000"
7.3,Crime,79,99,0.11,Dinner Rush,4508,2000
6.3,Action,41,109,0.0,Citizen Toxie: The Toxic Avenger IV,4431,2000
7.8,Comedy,69,120,1.32,MusÃ­me si pomÃ¡hat,4411,2000
6.7,Drama,68,98,0.01,Presque rien,4387,2000
7.6,Documentary,83,82,0.15,Les glaneurs et la glaneuse,4204,2000
6.7,Crime,82,101,0.44,Merci pour le chocolat,4152,2000
5.6,Crime,37,88,13.02,The Crew,4141,2000
6.1,Romance,35,93,0.28,Peines d'amour perdues,4019,2000
5.6,Adventure,33,114,6.54,Je rÃªvais de l'Afrique,3957,2000
6.9,Drama,64,109,1.05,La dÃ©fense Loujine,3941,2000
6.0,Drama,62,130,3.04,La coupe d'or,3905,2000
6.9,Action,60,113,0.09,Time and Tide,3860,2000
4.6,Drama,14,105,5.22,Sex & manipulations,3829,2000
7.1,Drama,66,87,0.03,MaelstrÃ¶m,3774,2000
4.4,Comedy,10,82,4.14,Whipped,3722,2000
6.5,Drama,54,86,1.11,Groove,3718,2000
5.3,Crime,5,87,0.01,Vulgar,3687,2000
6.9,Comedy,59,90,0.13,Le battement d'ailes du papillon,3648,2000
7.5,Comedy,63,102,0.24,Happy Times,3588,2000
7.4,Comedy,59,118,0.51,Big Eden - Un petit miracle,3581,2000
5.4,Drama,23,112,3.06,Beautiful,3394,2000
7.5,Drama,76,83,0.1,Suzhou River,3373,2000
5.2,Comedy,44,98,0.04,Committed,3352,2000
5.8,Drama,41,123,0.03,Dancing at the Blue Iguana,3338,2000
6.8,Crime,73,101,0.53,La vierge des tueurs,3272,2000
7.0,Comedy,40,107,0.05,Comment tuer le chien de son voisin,3247,2000
7.2,Drama,72,112,0.46,Ã€ la verticale de l'Ã©tÃ©,3232,2000
6.6,Action,45,105,0.02,Bangkok Dangerous,3218,2000
5.9,Comedy,40,86,0.06,Beautiful Creatures,3173,2000
3.7,Adventure,19,85,15.91,Thomas and the Magic Railroad,3145,2000
6.8,Adventure,50,98,0.0,Escaflowne,3008,2000
7.2,Drama,63,109,3.05,Songcatcher,2962,2000
7.5,Drama,79,155,0.73,InfidÃ¨le,2942,2000
7.9,Drama,78,217,0.05,Eureka,2934,2000
7.0,Comedy,60,97,0.07,Everybody Famous,2891,2000
5.6,Drama,28,105,0.77,D'un rÃªve Ã  l'autre,2858,2000
7.0,Drama,73,103,1.03,Urbania,2809,2000
5.9,Drama,32,100,0.03,Crime + Punishment,2781,2000
7.2,Drama,78,113,0.06,Aberdeen,2760,2000
8.8,Adventure,92,178,315.54,Le seigneur des anneaux: La communautÃ© de l'anneau,1370856,2001
8.2,Biography,72,135,170.74,Un homme d'exception,693160,2001
8.1,Animation,78,92,289.92,Monstres et Cie,662356,2001
8.1,Drama,88,113,0.19,Donnie Darko,644625,2001
8.3,Comedy,69,122,33.23,Le fabuleux destin d'AmÃ©lie Poulain,595449,2001
7.9,Animation,84,90,267.67,Shrek,512971,2001
7.6,Adventure,64,152,317.58,Harry Potter Ã  l'Ã©cole des sorciers,507373,2001
8.6,Animation,96,125,10.06,Le voyage de Chihiro,486092,2001
7.8,Crime,74,116,183.41,Ocean's Eleven,439557,2001
7.7,Crime,69,122,76.63,Training Day,332271,2001
7.7,Drama,74,144,108.64,La chute du faucon noir,317368,2001
6.7,Action,58,106,144.53,Fast and Furious,298959,2001
7.6,Horror,74,101,96.52,Les autres,294278,2001
6.1,Action,44,183,198.54,Pearl Harbor,275410,2001
8.0,Drama,83,147,7.22,Mulholland Drive,267579,2001
6.3,Action,48,130,202.02,Le retour de la momie,266917,2001
7.1,Adventure,65,146,78.62,A.I. intelligence artificielle,258796,2001
5.9,Action,42,92,181.17,Jurassic Park III,242887,2001
7.6,Drama,66,127,57.39,Moulin Rouge,238975,2001
7.6,Comedy,76,110,52.36,La famille Tenenbaum,228162,2001
6.8,Crime,57,131,165.09,Hannibal,223324,2001
6.9,Fantasy,45,136,100.61,Vanilla Sky,220532,2001
6.6,Comedy,61,90,45.17,Zoolander,217515,2001
6.4,Comedy,43,108,145.1,American Pie 2,213346,2001
7.6,Biography,52,124,52.99,Blow,212975,2001
7.6,Drama,53,131,51.4,Stalingrad,208273,2001
5.7,Action,50,119,180.01,La planÃ¨te des singes,192156,2001
6.7,Comedy,66,97,71.54,Le journal de Bridget Jones,191311,2001
6.6,Action,48,90,226.16,Rush Hour 2,173322,2001
5.8,Action,33,100,131.14,Lara Croft: Tomb Raider,169695,2001
6.5,Action,32,99,69.77,OpÃ©ration Espadon,162779,2001
7.4,Drama,49,120,50.34,K-PAX - L'homme qui vient de loin,160103,2001
6.9,Action,56,132,56.57,Chevalier,147588,2001
6.2,Comedy,59,96,96.52,La revanche d'une blonde,147404,2001
6.9,Comedy,51,104,30.06,Jay & Bob contre-attaquent,135124,2001
6.8,Horror,54,122,31.6,From Hell,133031,2001
7.6,Drama,28,132,40.31,Sam je suis Sam,129735,2001
5.3,Comedy,29,83,71.31,Scary Movie 2,129446,2001
7.1,Action,63,126,0.03,Spy game - Jeu d'espions,128330,2001
5.9,Comedy,48,114,70.84,L'amour extra large,115588,2001
6.8,Crime,71,124,71.07,The Score,107861,2001
